sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost
31,4.56E-07,1.10E-07,8.99E+20,2.56E-07,1.31E-06,9.50E-04,,2.38E+00,7.28E+04,,1.68E-03,2.21E+02
32,3.72E-07,7.00E-08,3.92E+20,4.56E-07,1.31E-06,2.83E-04,9.50E-01,2.69E-01,4.61E+01,4.98E+03,2.96E+01,2.71E+00
33,4.11E-07,8.00E-08,3.54E+20,3.34E-07,1.31E-06,8.88E-04,,2.22E+00,8.03E+04,,9.01E-03,2.20E+02
34,3.53E-07,1.00E-07,9.02E+20,6.36E-07,1.31E-06,3.02E-04,9.66E-01,2.91E-01,4.39E+01,6.28E+03,2.85E+01,2.48E+00
35,4.85E-07,1.10E-07,4.22E+20,4.62E-08,1.31E-06,5.84E-04,,1.46E+00,6.99E+04,,1.43E-01,2.12E+02
36,4.38E-07,8.00E-08,7.59E+20,5.44E-07,1.31E-06,2.09E-04,,5.23E-01,7.62E+04,,9.23E-04,2.21E+02
37,3.67E-07,1.10E-07,8.49E+20,1.04E-07,1.31E-06,9.36E-04,,2.34E+00,7.46E+04,,1.77E-03,2.21E+02
38,3.62E-07,8.00E-08,3.11E+20,7.52E-07,1.31E-06,5.33E-04,,1.33E+00,7.97E+04,,3.05E-02,1.66E+01
39,3.88E-07,1.30E-07,2.84E+20,1.51E-07,1.31E-06,6.19E-04,8.77E-01,5.43E-01,3.02E+01,3.51E+03,5.84E+01,2.21E+02
40,4.86E-07,8.00E-08,7.28E+20,5.21E-07,1.31E-06,8.41E-04,,2.10E+00,7.62E+04,,3.83E-03,2.21E+02
41,4.30E-07,1.00E-07,3.98E+20,7.74E-07,1.31E-06,7.81E-04,8.67E-01,6.77E-01,1.45E+01,3.64E+03,7.46E+01,1.93E+02
42,4.80E-07,8.00E-08,6.95E+20,4.93E-07,1.31E-06,4.72E-04,,1.18E+00,7.61E+04,,2.15E-03,2.21E+02
43,4.41E-07,1.10E-07,1.12E+20,1.15E-07,1.31E-06,9.09E-04,,2.27E+00,7.98E+04,,8.90E-01,1.71E+02
44,4.20E-07,1.20E-07,4.91E+20,6.17E-07,1.31E-06,9.45E-04,,2.36E+00,6.92E+04,,3.36E-01,2.00E+02
45,3.53E-07,1.10E-07,8.16E+20,1.48E-07,1.31E-06,7.02E-04,,1.76E+00,7.40E+04,,1.35E-03,2.21E+02
46,4.99E-07,1.20E-07,4.64E+20,7.70E-07,1.31E-06,5.17E-04,,1.29E+00,6.95E+04,,2.77E-01,2.04E+02
47,3.93E-07,8.00E-08,1.36E+20,1.85E-07,1.31E-06,4.20E-04,,1.05E+00,8.41E+04,,4.67E-01,1.93E+02
48,4.59E-07,1.10E-07,8.88E+19,4.01E-07,1.31E-06,3.58E-04,1.05E+00,3.75E-01,8.25E+04,1.24E+04,8.18E+01,1.18E+02
49,4.96E-07,7.00E-08,1.94E+20,3.84E-07,1.31E-06,3.42E-04,9.33E-01,3.19E-01,3.67E+01,5.25E+03,3.18E+01,1.76E+00
50,4.38E-07,8.00E-08,7.59E+20,5.44E-07,1.31E-06,2.09E-04,,5.23E-01,7.62E+04,,9.23E-04,2.21E+02
51,3.73E-07,1.20E-07,7.39E+20,1.94E-07,1.31E-06,6.35E-04,,1.59E+00,6.57E+04,,2.46E-01,2.05E+02
52,4.67E-07,1.00E-07,9.30E+18,8.53E-09,1.31E-06,7.30E-04,8.78E-01,6.41E-01,1.58E+01,5.19E+03,6.08E+01,6.34E-01
53,4.64E-07,1.00E-07,2.64E+20,4.62E-07,1.31E-06,9.02E-04,8.55E-01,7.71E-01,1.23E+01,3.04E+03,7.95E+01,6.52E-01
54,3.67E-07,1.10E-07,7.46E+20,2.45E-07,1.31E-06,1.23E-04,,3.08E-01,7.58E+04,,2.48E-04,2.21E+02
55,4.64E-07,1.00E-07,2.61E+20,4.59E-07,1.31E-06,9.02E-04,8.55E-01,7.71E-01,1.23E+01,3.04E+03,7.93E+01,6.52E-01
56,3.62E-07,1.20E-07,4.41E+20,3.05E-07,1.31E-06,8.99E-04,,2.25E+00,6.97E+04,,2.25E-01,2.07E+02
57,4.70E-07,9.00E-08,1.41E+20,5.46E-07,1.31E-06,7.27E-04,8.68E-01,6.31E-01,1.58E+01,3.85E+03,6.17E+01,6.23E-01
58,4.94E-07,8.00E-08,2.68E+19,5.08E-07,1.31E-06,5.43E-04,,1.36E+00,8.71E+04,,2.41E+00,1.24E+02
59,4.66E-07,1.00E-07,1.04E+20,5.55E-07,1.31E-06,8.08E-04,8.62E-01,6.97E-01,1.39E+01,4.16E+03,6.58E+01,6.22E-01
60,3.88E-07,1.20E-07,4.18E+20,6.71E-07,1.31E-06,8.71E-04,,2.18E+00,6.99E+04,,4.23E-01,1.95E+02
61,4.52E-07,9.00E-08,1.68E+20,6.91E-07,1.31E-06,6.54E-04,8.77E-01,5.73E-01,1.78E+01,4.30E+03,5.77E+01,6.55E-01
62,4.66E-07,1.00E-07,1.87E+20,6.16E-07,1.31E-06,6.94E-04,8.73E-01,6.06E-01,1.66E+01,4.31E+03,6.00E+01,6.33E-01
63,4.61E-07,9.00E-08,1.77E+20,5.95E-07,1.31E-06,7.79E-04,8.63E-01,6.73E-01,1.46E+01,3.56E+03,6.82E+01,6.19E-01
64,4.64E-07,9.00E-08,1.04E+20,6.58E-07,1.31E-06,6.74E-04,8.74E-01,5.89E-01,1.72E+01,4.54E+03,5.66E+01,6.42E-01
65,4.27E-07,9.00E-08,2.27E+19,7.80E-07,1.31E-06,3.79E-04,9.42E-01,3.58E-01,3.26E+01,9.36E+03,3.09E+01,1.42E+00
66,4.81E-07,1.10E-07,2.71E+20,2.19E-07,1.31E-06,5.33E-04,,1.33E+00,7.40E+04,,3.74E-01,1.98E+02
67,4.53E-07,9.00E-08,1.05E+20,7.08E-07,1.31E-06,5.46E-04,8.93E-01,4.87E-01,2.19E+01,5.48E+03,4.62E+01,7.82E-01
68,3.78E-07,7.00E-08,2.12E+20,7.84E-07,1.31E-06,3.07E-04,9.48E-01,2.91E-01,4.18E+01,5.99E+03,3.00E+01,2.25E+00
69,4.38E-07,7.00E-08,9.37E+19,6.23E-07,1.31E-06,1.54E-04,1.05E+00,1.61E-01,9.32E+01,9.78E+03,1.33E+01,1.52E+01
70,4.63E-07,9.00E-08,1.59E+20,6.22E-07,1.31E-06,7.11E-04,8.70E-01,6.18E-01,1.62E+01,3.96E+03,6.18E+01,6.27E-01
71,4.61E-07,9.00E-08,1.20E+20,6.83E-07,1.31E-06,6.73E-04,8.74E-01,5.88E-01,1.73E+01,4.47E+03,5.74E+01,6.43E-01
72,4.59E-07,9.00E-08,1.18E+20,6.61E-07,1.31E-06,6.84E-04,8.73E-01,5.97E-01,1.70E+01,4.37E+03,5.80E+01,6.38E-01
73,3.51E-07,8.00E-08,9.21E+20,4.03E-07,1.31E-06,5.59E-04,,1.40E+00,7.51E+04,,9.60E-03,2.20E+02
74,3.81E-07,8.00E-08,8.03E+20,4.05E-07,1.31E-06,8.72E-04,,2.18E+00,7.49E+04,,1.75E-02,2.20E+02
75,4.61E-07,9.00E-08,1.23E+20,6.72E-07,1.31E-06,6.73E-04,8.74E-01,5.88E-01,1.73E+01,4.43E+03,5.74E+01,6.43E-01
76,4.81E-07,1.00E-07,1.47E+20,2.63E-08,1.31E-06,2.83E-04,9.60E-01,2.71E-01,4.92E+01,6.56E+03,2.22E+01,3.09E+00
77,4.59E-07,9.00E-08,8.96E+19,7.28E-07,1.31E-06,6.50E-04,8.78E-01,5.71E-01,1.79E+01,4.93E+03,5.47E+01,6.56E-01
78,4.59E-07,9.00E-08,9.39E+19,7.26E-07,1.31E-06,6.55E-04,8.77E-01,5.74E-01,1.78E+01,4.86E+03,5.53E+01,6.54E-01
79,4.59E-07,9.00E-08,9.11E+19,7.35E-07,1.31E-06,6.50E-04,8.78E-01,5.70E-01,1.79E+01,4.93E+03,5.48E+01,6.57E-01
80,5.00E-07,7.00E-08,1.35E+20,1.82E-07,1.31E-06,1.00E-04,1.16E+00,1.16E-01,1.53E+02,8.23E+03,8.58E+00,2.20E+01
81,4.44E-07,1.20E-07,3.33E+19,3.37E-07,1.31E-06,7.97E-04,,1.99E+00,8.31E+04,,2.33E+00,1.25E+02
82,4.59E-07,9.00E-08,9.38E+19,7.41E-07,1.31E-06,6.44E-04,8.78E-01,5.66E-01,1.81E+01,4.95E+03,5.45E+01,6.61E-01
83,4.57E-07,9.00E-08,8.61E+19,7.43E-07,1.31E-06,6.56E-04,8.77E-01,5.75E-01,1.78E+01,4.96E+03,5.52E+01,6.53E-01
84,4.55E-07,9.00E-08,8.10E+19,7.55E-07,1.31E-06,6.53E-04,8.78E-01,5.73E-01,1.78E+01,5.04E+03,5.49E+01,6.54E-01
85,4.76E-07,7.00E-08,8.56E+20,6.23E-07,1.31E-06,9.86E-04,8.48E-01,8.37E-01,1.10E+01,2.27E+03,1.15E+02,6.97E-01
86,4.92E-07,7.00E-08,1.00E+21,8.00E-07,1.31E-06,1.00E-03,8.49E-01,8.49E-01,1.08E+01,2.43E+03,1.20E+02,7.08E-01
87,3.91E-07,8.00E-08,8.38E+20,5.33E-07,1.31E-06,4.23E-04,,1.06E+00,7.50E+04,,8.62E-03,2.20E+02
88,4.78E-07,8.00E-08,6.52E+20,7.14E-07,1.31E-06,9.29E-04,,2.32E+00,7.08E+04,,1.93E-01,2.09E+02
89,4.94E-07,7.00E-08,1.00E+21,5.69E-07,1.31E-06,1.00E-03,8.48E-01,8.48E-01,1.08E+01,2.22E+03,1.19E+02,7.07E-01
90,5.00E-07,9.00E-08,1.00E+17,0.00E+00,1.31E-06,7.07E-04,1.01E+00,7.15E-01,1.57E+01,2.18E+03,3.26E+01,7.06E-01
91,4.57E-07,9.00E-08,6.86E+19,7.48E-07,1.31E-06,6.38E-04,8.80E-01,5.61E-01,1.83E+01,5.28E+03,5.31E+01,6.66E-01
92,4.58E-07,1.00E-07,5.72E+19,7.57E-07,1.31E-06,6.28E-04,8.84E-01,5.55E-01,1.86E+01,6.09E+03,5.18E+01,6.73E-01
93,3.90E-07,1.10E-07,1.00E+21,8.00E-07,1.31E-06,1.55E-04,,3.88E-01,7.28E+04,,1.11E-03,2.21E+02
94,4.58E-07,9.00E-08,6.92E+19,7.43E-07,1.31E-06,6.37E-04,8.80E-01,5.61E-01,1.83E+01,5.27E+03,5.31E+01,6.66E-01
95,4.73E-07,7.00E-08,8.31E+20,4.66E-07,1.31E-06,6.95E-04,8.67E-01,6.02E-01,1.67E+01,2.72E+03,8.07E+01,6.32E-01
96,4.65E-07,7.00E-08,1.00E+21,5.81E-07,1.31E-06,8.17E-04,8.58E-01,7.01E-01,1.38E+01,2.51E+03,9.73E+01,6.22E-01
97,4.80E-07,7.00E-08,9.61E+20,4.49E-07,1.31E-06,8.21E-04,8.57E-01,7.03E-01,1.37E+01,2.39E+03,9.71E+01,6.22E-01
98,4.60E-07,1.00E-07,6.46E+20,1.21E-07,1.31E-06,7.34E-04,8.64E-01,6.34E-01,1.80E+01,2.48E+03,7.09E+01,7.20E-01
99,4.85E-07,1.00E-07,1.00E+17,0.00E+00,1.31E-06,7.47E-04,9.93E-01,7.42E-01,1.47E+01,2.41E+03,3.61E+01,7.01E-01
100,3.79E-07,1.00E-07,1.61E+19,2.02E-08,1.31E-06,4.74E-04,9.19E-01,4.35E-01,2.59E+01,7.17E+03,3.74E+01,9.86E-01
101,4.23E-07,1.20E-07,4.69E+20,2.24E-07,1.31E-06,4.98E-04,,1.24E+00,6.94E+04,,1.06E-01,2.14E+02
102,4.73E-07,7.00E-08,1.00E+21,6.50E-07,1.31E-06,1.00E-03,8.48E-01,8.48E-01,1.08E+01,2.25E+03,1.19E+02,7.07E-01
103,4.60E-07,9.00E-08,7.63E+19,7.17E-07,1.31E-06,6.61E-04,8.77E-01,5.79E-01,1.76E+01,4.99E+03,5.50E+01,6.49E-01
104,4.61E-07,9.00E-08,6.91E+19,7.24E-07,1.31E-06,6.62E-04,8.77E-01,5.80E-01,1.76E+01,5.08E+03,5.49E+01,6.49E-01
105,4.85E-07,7.00E-08,9.65E+20,5.94E-07,1.31E-06,8.52E-04,8.56E-01,7.29E-01,1.31E+01,2.50E+03,1.01E+02,6.30E-01
106,4.61E-07,9.00E-08,6.71E+19,7.25E-07,1.31E-06,6.62E-04,8.77E-01,5.80E-01,1.76E+01,5.11E+03,5.49E+01,6.49E-01
107,4.71E-07,7.00E-08,9.18E+20,5.09E-07,1.31E-06,8.40E-04,8.56E-01,7.19E-01,1.34E+01,2.40E+03,9.88E+01,6.26E-01
108,4.33E-07,8.00E-08,7.29E+20,5.39E-08,1.31E-06,7.55E-04,,1.89E+00,7.62E+04,,3.11E-03,2.21E+02
109,4.78E-07,7.00E-08,9.95E+20,5.10E-07,1.31E-06,7.52E-04,8.62E-01,6.49E-01,1.52E+01,2.63E+03,8.95E+01,6.18E-01
110,4.62E-07,9.00E-08,7.07E+19,7.18E-07,1.31E-06,6.66E-04,8.76E-01,5.83E-01,1.75E+01,5.03E+03,5.53E+01,6.47E-01
111,4.62E-07,9.00E-08,6.98E+19,7.20E-07,1.31E-06,6.64E-04,8.76E-01,5.82E-01,1.75E+01,5.05E+03,5.51E+01,6.48E-01
112,4.62E-07,9.00E-08,7.05E+19,7.19E-07,1.31E-06,6.65E-04,8.76E-01,5.83E-01,1.75E+01,5.04E+03,5.52E+01,6.47E-01
113,3.70E-07,8.00E-08,1.99E+20,6.09E-07,1.31E-06,1.61E-04,,4.03E-01,8.27E+04,,1.61E-01,2.11E+02
114,3.79E-07,8.00E-08,5.74E+19,8.00E-07,1.31E-06,5.56E-04,,1.39E+00,8.62E+04,,2.26E+00,1.26E+02
115,4.63E-07,1.00E-07,9.02E+19,6.85E-07,1.31E-06,6.85E-04,8.75E-01,5.99E-01,1.69E+01,5.14E+03,5.66E+01,6.37E-01
116,4.73E-07,9.00E-08,1.00E+17,0.00E+00,1.31E-06,7.22E-04,1.01E+00,7.26E-01,1.53E+01,2.14E+03,3.33E+01,7.05E-01
117,4.65E-07,1.00E-07,1.56E+20,5.62E-07,1.31E-06,7.74E-04,8.65E-01,6.70E-01,1.47E+01,3.98E+03,6.52E+01,6.19E-01
118,4.63E-07,1.00E-07,8.81E+19,7.02E-07,1.31E-06,6.60E-04,8.78E-01,5.80E-01,1.76E+01,5.36E+03,5.47E+01,6.50E-01
119,4.56E-07,9.00E-08,2.01E+20,7.40E-07,1.31E-06,6.26E-04,8.80E-01,5.51E-01,1.87E+01,4.44E+03,5.68E+01,6.76E-01
120,4.66E-07,9.00E-08,1.10E+20,6.07E-07,1.31E-06,7.67E-04,8.65E-01,6.64E-01,1.48E+01,3.96E+03,6.42E+01,6.19E-01
121,4.62E-07,9.00E-08,8.66E+19,7.05E-07,1.31E-06,6.69E-04,8.75E-01,5.85E-01,1.74E+01,4.81E+03,5.60E+01,6.45E-01
122,4.48E-07,1.10E-07,7.13E+20,4.27E-07,1.31E-06,4.62E-04,,1.16E+00,6.59E+04,,3.45E-01,2.00E+02
123,4.62E-07,9.00E-08,8.89E+19,6.98E-07,1.31E-06,6.74E-04,8.75E-01,5.89E-01,1.72E+01,4.74E+03,5.64E+01,6.42E-01
124,4.62E-07,9.00E-08,9.06E+19,6.95E-07,1.31E-06,6.75E-04,8.75E-01,5.90E-01,1.72E+01,4.71E+03,5.66E+01,6.41E-01
125,4.62E-07,9.00E-08,9.26E+19,6.91E-07,1.31E-06,6.78E-04,8.74E-01,5.93E-01,1.71E+01,4.67E+03,5.68E+01,6.40E-01
126,4.62E-07,9.00E-08,9.48E+19,6.87E-07,1.31E-06,6.81E-04,8.74E-01,5.95E-01,1.70E+01,4.63E+03,5.71E+01,6.39E-01
127,4.62E-07,1.00E-07,9.76E+19,6.81E-07,1.31E-06,6.85E-04,8.75E-01,5.99E-01,1.69E+01,5.06E+03,5.68E+01,6.37E-01
128,4.63E-07,1.00E-07,9.30E+19,6.82E-07,1.31E-06,6.86E-04,8.75E-01,6.00E-01,1.68E+01,5.10E+03,5.68E+01,6.36E-01
129,4.65E-07,1.00E-07,1.50E+20,5.47E-07,1.31E-06,7.97E-04,8.63E-01,6.88E-01,1.42E+01,3.90E+03,6.66E+01,6.21E-01
130,4.64E-07,1.00E-07,1.27E+20,6.00E-07,1.31E-06,7.48E-04,8.68E-01,6.49E-01,1.53E+01,4.33E+03,6.22E+01,6.20E-01
131,4.65E-07,9.00E-08,1.35E+20,5.85E-07,1.31E-06,7.58E-04,8.65E-01,6.56E-01,1.51E+01,3.82E+03,6.43E+01,6.19E-01
132,4.64E-07,1.00E-07,9.00E+19,6.54E-07,1.31E-06,7.54E-04,8.68E-01,6.54E-01,1.51E+01,4.70E+03,6.20E+01,6.20E-01
133,4.64E-07,9.00E-08,9.41E+19,6.48E-07,1.31E-06,7.51E-04,8.67E-01,6.51E-01,1.52E+01,4.22E+03,6.26E+01,6.20E-01
134,4.66E-07,1.00E-07,1.18E+20,6.14E-07,1.31E-06,7.61E-04,8.67E-01,6.60E-01,1.50E+01,4.37E+03,6.31E+01,6.20E-01
135,3.83E-07,1.00E-07,7.42E+20,4.93E-07,1.31E-06,6.91E-04,8.73E-01,6.04E-01,1.68E+01,3.11E+03,6.89E+01,6.36E-01
136,3.72E-07,1.00E-07,6.63E+20,5.79E-07,1.31E-06,6.04E-04,8.85E-01,5.35E-01,1.95E+01,3.66E+03,5.98E+01,6.98E-01
137,4.64E-07,1.00E-07,1.18E+20,6.16E-07,1.31E-06,7.50E-04,8.68E-01,6.51E-01,1.52E+01,4.42E+03,6.22E+01,6.20E-01
138,4.99E-07,1.20E-07,1.56E+20,6.26E-09,1.31E-06,7.75E-04,,1.94E+00,7.86E+04,,1.00E+00,1.66E+02
139,4.64E-07,1.00E-07,1.24E+20,6.08E-07,1.31E-06,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.35E+03,6.25E+01,6.20E-01
140,4.64E-07,1.00E-07,1.27E+20,6.05E-07,1.31E-06,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.33E+03,6.26E+01,6.20E-01
141,3.69E-07,1.00E-07,9.66E+20,2.80E-07,1.31E-06,6.15E-04,8.78E-01,5.40E-01,2.00E+01,2.85E+03,6.27E+01,7.29E-01
142,3.74E-07,1.00E-07,8.74E+20,4.47E-07,1.31E-06,5.63E-04,8.89E-01,5.01E-01,2.12E+01,3.50E+03,5.71E+01,7.58E-01
143,4.65E-07,1.00E-07,1.33E+20,5.97E-07,1.31E-06,7.52E-04,8.67E-01,6.52E-01,1.52E+01,4.27E+03,6.27E+01,6.20E-01
144,4.65E-07,9.00E-08,1.34E+20,5.95E-07,1.31E-06,7.51E-04,8.66E-01,6.50E-01,1.52E+01,3.86E+03,6.38E+01,6.20E-01
145,4.65E-07,9.00E-08,1.37E+20,5.93E-07,1.31E-06,7.50E-04,8.66E-01,6.49E-01,1.52E+01,3.85E+03,6.38E+01,6.20E-01
146,4.65E-07,9.00E-08,1.37E+20,5.91E-07,1.31E-06,7.51E-04,8.66E-01,6.50E-01,1.52E+01,3.84E+03,6.39E+01,6.20E-01
147,4.65E-07,9.00E-08,1.39E+20,5.88E-07,1.31E-06,7.52E-04,8.66E-01,6.51E-01,1.52E+01,3.83E+03,6.40E+01,6.20E-01
148,4.65E-07,9.00E-08,1.38E+20,5.87E-07,1.31E-06,7.52E-04,8.66E-01,6.51E-01,1.52E+01,3.82E+03,6.40E+01,6.20E-01
149,4.66E-07,1.00E-07,1.40E+20,5.85E-07,1.31E-06,7.52E-04,8.67E-01,6.53E-01,1.52E+01,4.21E+03,6.29E+01,6.20E-01
150,4.65E-07,9.00E-08,1.40E+20,5.87E-07,1.31E-06,7.53E-04,8.66E-01,6.52E-01,1.52E+01,3.81E+03,6.42E+01,6.20E-01
